company_id,cat_id,catName,style_id,StyleName,prod_id,kind,color,Description,weight,size,Qty,Qty_sold,price_MGL,unitprice_Cnd,TransportCostUnit,sellsPrice,barCode,sex,sellDesc,barCodePrint,print_bar,workField,extra
103,0201,pants,103-2W-020106,tights with elastic,,wool,black,woman legging,255,M,3,3,89000,34.49612403,3.744804655,70,1032W02010101M,female,Gungaa; Zaya; Saruul,103020101,1032W02010101M,,
103,0201,pants,103-2W-020102,tights/legging,,wool,bej-brown,,262,M,2,2,89000,34.49612403,5.771404821,130,1032W02010207M,female,Dagii+1 sold,103020102,1032W02010207M,,
103,0201,pants,103-2W-020103,tights/cable,,wool,brown,woman pants /cable/,453,M,1,,149000,57.75193798,19.95760599,130,1032W02010307M,female,,103020103,1032W02010307M,,
103,0201,pants,103-2W-020104,tripezoid,,wool,black,woman pants,280,M,1,1,110000,42.63565892,12.3358271,130,1032W02010401M,female,sold,103020104,1032W02010401M,,
103,0201,pants,103-2W-020104,tripezoid,,wool,gray,,262,M,1,1,110000,42.63565892,11.54280964,70,1032W02010403M,female,Saruul,103020104,1032W02010403M,,
103,0201,pants,103-2W-020104,tripezoid,,wool,brown,,260,M,1,1,110000,42.63565892,11.45469659,130,1032W02010405M,female,sold,103020104,1032W02010405M,,
103,0201,pants,103-2M-020106,long johns,,wool,gray,man Long johns,218,L,1,1,89000,34.49612403,9.604322527,130,1032M02010603M,male,Jay,103020106,1032M02010603M,,
103,0201,pants,103-2M-020106,long johns,,wool,bej-brown,,218,M,1,,89000,34.49612403,9.604322527,130,1032M02010607M,male,,103020106,1032M02010607M,,
103,0101,Cardigan,103-2M-010101,6 buttons,,wool,gray,Man Cardigan,470,L,1,1,149000,57.75193798,20.70656692,167,1032M01010103L,male,Garage gay gift from Jay,103010101,1032M01010103L,,
103,0101,Cardigan,103-2M-010101,6 buttons,,wool,bej-brown,,385,L,1,,149000,57.75193798,16.96176226,167,1032M01010107L,male,,103010101,1032M01010107L,,
103,0403,Foot,103-2W-040301,knee warmer,,wool,white,Ankle warmer,128,F,5,,20000,7.751937985,1.127847049,20,1032W04030106F,female,,103040301,1032W04030106F,,
103,0302,dress,103-2W-030201,dress with zip,,wool,black,dress,351,M,1,,145000,56.20155039,15.4638404,167,1032W03020101M,female,,103030201,1032W03020101M,,
103,0201,pants,103-2W-020105,straight,,wool,bej-brown,women set,381,M,1,1,149000,57.75193798,16.78553616,130,1032W02010507M,female,sold,103020105,1032W02010507M,,
103,0103,T-neck,103-2W-010301,T-neck with lace/strip,,wool,bej-brown,/+/,360,M,1,,145000,56.20155039,15.86034913,150,1032W01030107M,female,,103010301,1032W01030107M,,
103,0102,C-neck,103-2U-010201,dzemper /Cable/,,wool,green,man dzemper /Cable/,483,M,2,1,140000,54.26356589,10.63965087,167,1032U01020109M,unisex,Jay+1 sold,103010201,1032U01020109M,,
103,0102,C-neck,103-2U-010201,dzemper /Cable/,,wool,gray,,287,M,2,,140000,54.26356589,6.322111388,167,1032U01020103M,unisex,,103010201,1032U01020103M,,
103,0102,C-neck,103-2U-010201,dzemper /Cable/,,wool,bej,,415,M,3,1,140000,54.26356589,6.094486007,167,1032U01020102M,unisex,Quinn,103010201,1032U01020102M,,
103,0102,C-neck,103-2U-010202,dzemper /Cable/-7 g,,wool,white,man DZEMPER 7gh,391,M,2,,140000,54.26356589,8.613050707,167,1032U01020206M,unisex,,103010202,1032U01020206M,,
